transect,Distance,Period,Lumbricus,Eisenia ,Allolobophora,Aporrectodea ,Dendrobaena,Amynthas
A,30,1,0.294117647,0.235294118,0.058823529,0.411764706,0,0
A,25,1,0.133333333,0.4,0.13333333,0.33333333,0,0
A,20,1,0.205882353,0.088235294,0.029411765,0.676470588,0,0
A,15,1,0.2,0,0.2,0.36,0,0.24
B,30,1,0,0,0,1,0,0
B,25,1,0.181818182,0,0,0.72727272,0.09090909,0
B,20,1,0.354838709,0,0.225806452,0.096774194,0,0.322580645
B,15,1,0.304347826,0,0.565217391,0,0,0.130434783
C,30,1,0,0,0,0.846153846,0,0.153846154
C,25,1,0.3,0,0.1,0.6,0,0
C,20,1,0.333333333,0,0,0.444444444,0,0.22222222
C,15,1,0,0,0.069767442,0,0,0.930232558
D ,30,1,0.4,0.4,0,0.2,0,0
D ,25,1,0.75,0.25,0,0,0,0
D ,20,1,1,0,0,0,0,0
D ,15,1,0.133333333,0,0.533333333,0,0,0.33333333
A,30,2,0.2222222,0.22222222,0,0.55555556,0,0
A,25,2,0,0.35,0,0.65,0,0
A,20,2,0.197368421,0.065789474,0,0.736842105,0,0
A,15,2,0.24242424,0.12121212,0,0.27272727,0,0.36363636
A ,10,2,0,0,0,0,0,0
B,30,2,0,0,0,0,0,0
B ,25,2,0,0.4,0,0.6,0,0
B ,20,2,0.46666667,0.06666667,0,0,0,0.466666667
B ,15,2,0.206896552,0,0,0,0,0.793103448
B ,10,2,0,0,0,0,0,0
C,30,2,0,0,0,1,0,0
C,25,2,0,0,0,0.733333333,0,0.266666667
C,20,2,0.032258065,0,0,0.161290323,0,0.806451613
C,15,2,0,0,0,0,0,1
D,30,2,0.5,0,0,0.5,0,0
D,25,2,0,0.125,0,0.875,0,0
D,20,2,0.18181818,0.27272727,0,0.545454545,0,0
D,15,2,0.5,0,0.35,0.05,0,0.1
A,30,3,0.1,0.2,0,0.7,0,0
A,25,3,0,0,0,1,0,0
A,20,3,0.25454545,0.018181818,0,0.67272727,0,0.054545454
A,15,3,0.117647059,0,0.117647059,0,0,0.764705882
A,10,3,0.166666667,0,0,0,0,0.833333333
A,5,3,0,0,0,0.5,0,0.5
A,0,3,0,0,0,0,0,1
B,30,3,0,0,0,1,0,0
B,25,3,0.04,0,0,0.88,0.08,0
B,20,3,0.5,0,0,0.46,0.04,0
B,15,3,0.352941177,0,0,0.323529412,0,0.323529412
B,10,3,0,0,0,0,0,0
B,5,3,0,0,0,0,0,0
C,30,3,0,0,0,1,0,0
C,25,3,0,0,0,1,0,0
C,20,3,0.034482759,0,0,0.24137931,0,0.724137931
C,15,3,0,0,0,0,0,1
C,10,3,0,0,0,0,0,1
D,30,3,0.0625,0.125,0,0.8125,0,0
D,25,3,0.076923077,0,0,0.923076923,0,0
D,20,3,0.352941177,0,0,0.647058824,0,0
D,15,3,0.416666667,0,0,0,0,0.583333333
