Date,TRANSECT,DISTANCE,PERIOD,Plot,T5,T12,T20,THETA12,THETA20,pH,Lumbricus,Eisenia ,Allolobophora,Aporrectodea ,Dendrobaena,Amynthas
7/16/2014,B,20,3,B_20,21.766,21.866,21.966,44.866,32.333,5.923,0.5,0,0,0.46,0.04,0
7/16/2014,B,15,3,B_15,22.6,22.7,22.733,47.3,34.1,5.88,0.352941177,0,0,0.323529412,0,0.323529412
7/17/2014,B,10,3,B_10,24.833,23.966,23.633,51.9,37.7,6.313,0,0,0,0,0,0
7/17/2014,B,5,3,B_5,27.166,25.933,25.366,54.866,40.966,6.62,0,0,0,0,0,0
7/20/2014,C,30,3,C_30,23.8,23.8,23.866,31.633,21,5.72,0,0,0,1,0,0
7/20/2014,C,25,3,C_25,25.7,24.866,24.233,35.1,24.666,6.01,0,0,0,1,0,0
7/20/2014,C,20,3,C_20,25,24.333,23.7,47.166,34.166,6.51,0.034482759,0,0,0.24137931,0,0.724137931
7/21/2014,C,15,3,C_15,23.366,23.633,23.766,49.333,35.866,6.307,0,0,0,0,0,1
7/21/2014,C,10,3,C_10,26.133,25.5,25.4,61.533,45.066,7.296,0,0,0,0,0,1
7/21/2014,D,30,3,D_30,26.1,25.033,24.066,38,26.933,5.953,0.0625,0.125,0,0.8125,0,0
7/22/2014,D,25,3,D_25,26.566,25.33,24.8,30.533,21.133,5.94,0.076923077,0,0,0.923076923,0,0
7/22/2014,D,20,3,D_20,28.333,26.566,25.233,36.566,26.133,5.8,0.352941177,0,0,0.647058824,0,0
7/23/2014,D,15,3,D_15,23.533,23.733,23.733,47.533,34,6.193,0.416666667,0,0,0,0,0.583333333
