run,volume,date,transect,distance,sample,minute,time,area,comment
,1,7/17/2014,andy,0,0,0,7.53,499757,
,1,7/17/2014,andy,0,5,5,7.381,224076,
,1,7/17/2014,andy,0,5,5,7.781,29323,
,1,7/17/2014,andy,0,5,5,7.361,632120,
,1,7/17/2014,andy,0,5,5,7.24,331111,
,1,7/17/2014,andy,0,10,10,7.511,269384,
,1,7/17/2014,andy,0,15,15,7.13,214351,
,1,7/17/2014,andy,10,0,0,7.33,163624,
,1,7/17/2014,andy,10,5,5,7.16,188850,
23,1,7/17/2014,andy,10,15,15,10.833,20358,good
,1,7/17/2014,andy,20,5,5,10.148,7890,
,1,7/17/2014,andy,20,10,10,10.129,17782,
,1,7/17/2014,andy,20,15,15,10.2,918689,
,1,7/17/2014,andy,25,0,0,10.112,36608,
,1,7/17/2014,andy,25,24,24,10.132,185963,
,1,7/17/2014,bob,0,0,0,10.158,5604,
,1,7/17/2014,bob,0,5,5,9.829,6178,!
,1,7/17/2014,bob,10,0,0,10.163,4590,!
,1,7/17/2014,bob,10,5,5,10.133,9969,
,1,7/17/2014,bob,10,10,10,10.225,5583,!
,1,7/25/2014,andy,0,0,0,9.8,8221,
,1,7/25/2014,andy,0,5,5,10.2,56206,
,1,7/25/2014,andy,0,10,10,10.37,41000,
,1,7/25/2014,andy,0,15,15,10.1,106396,
,1,7/25/2014,andy,10,0,0,9.776,48735,
,1,7/25/2014,andy,10,5,5,10.149,25479,
,1,7/25/2014,andy,10,10,10,10.255,10149,
,1,7/25/2014,andy,20,0,0,9.38,1674,
,1,7/25/2014,andy,20,5,5,10.33,130382,
,1,7/28/2014,bob,10,10,10,10.1,4308,!
,1,7/28/2014,bob,0,10,10,10.9,2715,!
,1,7/28/2014,bob,0,15,15,10.09,4340,!
,1,7/28/2014,bob,10,15,15,10.1,5962,!
,0.25,8/4/2014,andy,10,0,0,11.007,3052,
,0.25,8/4/2014,andy,10,5,5,11.008,2000,
,0.25,8/4/2014,andy,10,10,10,9.983,3658,
,0.25,8/4/2014,andy,10,10,10,10,3877,
,0.25,8/4/2014,andy,10,15,15,10.133,4068,
,0.25,8/4/2014,andy,20,0,0,10.033,2657,
,0.25,8/4/2014,andy,20,5,5,10.033,4886,
,0.25,8/4/2014,andy,20,10,10,9.981,3896,
,0.25,8/4/2014,andy,20,15,15,10.983,3145,
,0.25,8/14/2014,andy,0,5,6,9.275,196459,
,0.25,8/14/2014,andy,0,10,9,9.525,125475,
,0.25,8/14/2014,andy,0,15,14,10.157,209956,
,0.25,8/14/2014,andy,10,0,0,9.347,185016,
,0.25,8/14/2014,andy,10,0,0,9.763,159124,
,0.25,8/14/2014,andy,10,0,0,10.708,53212,
,0.25,8/14/2014,andy,10,5,5,9.279,172614,
,0.25,8/14/2014,andy,10,10,10,9.267,170425,
,0.25,8/14/2014,andy,10,15,15,10.038,555385,
,0.25,8/14/2014,andy,20,5,5,10.367,2277,860 mv low
,0.25,8/14/2014,andy,20,10,10,12.049,429087,psig low
,0.25,8/14/2014,bob,0,0,0,10.185,30101,pretty sure this is right was written as bob 10 m at 5 minutes but was chosen as the wrong one
,0.25,8/14/2014,bob,0,5,5,10.215,123261,
,0.25,8/14/2014,bob,0,5,5,11.906,814012,
,0.25,8/14/2014,bob,10,0,0,10.23,180337,
,0.25,8/14/2014,bob,10,5,5,9.263,155884,
,0.25,8/14/2014,bob,10,15,15,10.058,308476,
,0.25,8/14/2014,bob,10,15,15,10.259,254199,
,0.25,8/14/2014,bob,20,0,0,12.84,370133,error (-5100)
,0.25,8/14/2014,bob,20,5,5,9.27,205101,
,0.25,8/14/2014,bob,20,5,5,10.475,153946,
,0.25,8/14/2014,bob,20,10,10,10.18,3395,
,0.25,8/14/2014,bob,20,10,10,9.217,174785,
,0.25,8/14/2014,bob,20,10,10,10.206,93228,
,0.25,8/14/2014,bob,20,10,10,11.6,18467,
,0.25,8/14/2014,bob,20,15,15,8.839,261562,
,0.25,8/14/2014,bob,20,15,15,10.06,210731,
,0.25,8/24/2014,andy,0,0,0,10.194,104380,
,0.25,8/24/2014,andy,0,0,0,10.475,114464,
,0.25,8/24/2014,andy,0,3,4,10.047,107300,
,0.25,8/24/2014,andy,0,3,4,10.0266,99989,
,0.25,8/24/2014,andy,0,5,6,10.021,123986,
,0.25,8/24/2014,andy,0,5,6,10.266,102797,
,0.25,8/24/2014,andy,10,0,0,10.234,66854,
,0.25,8/24/2014,andy,10,0,0,9.986,79537,
,0.25,8/24/2014,andy,10,3,5,10.035,172783,
,0.25,8/24/2014,andy,10,5,8,10.165,251187,
,0.25,8/24/2014,andy,10,10,11,10.331,210300,
,0.25,8/24/2014,andy,20,0,0,10.181,120394,
,0.25,8/24/2014,andy,20,3,6,9.967,124669,
,0.25,8/24/2014,andy,20,5,9,10.02,134247,
,0.25,8/24/2014,andy,20,10,11,10.036,205518,
,0.25,8/24/2014,bob,0,0,0,10.262,246334,
,0.25,8/24/2014,bob,0,3,4,11.729,199137,
,0.25,8/24/2014,bob,0,5,6,9.783,119641,
,0.25,8/24/2014,bob,0,10,9,11.016,144893,
,0.25,8/24/2014,bob,0,10,9,11.391,84910,
,0.25,8/24/2014,bob,10,0,0,10.157,368230,
,0.25,8/24/2014,bob,10,0,0,10.644,451211,
,0.25,8/24/2014,bob,10,0,0,10.173,695744,
,0.25,8/24/2014,bob,10,0,0,9.793,70308,
,0.25,8/24/2014,bob,10,0,0,10.1,60300,
,0.25,8/24/2014,bob,10,3,9,9.298,359,
,0.25,8/24/2014,bob,10,3,11,11.55,112664,
,0.25,8/24/2014,bob,10,5,14,9.749,82500,
,0.25,8/24/2014,bob,10,5,14,10.05,90476,
,0.25,8/24/2014,bob,20,0,0,9.866,89866,
,0.25,8/24/2014,bob,20,0,0,10.183,73377,
,0.25,8/24/2014,bob,20,3,4,9.735,63945,
,0.25,8/24/2014,bob,20,3,4,10.184,110583,
,0.25,8/24/2014,bob,20,5,7,9.747,108447,
,0.25,8/24/2014,bob,20,10,10,9.762,83469,
,0.25,8/24/2014,bob,20,10,10,10.06,81632,
,0.25,9/7/2014,andy,10,0,0,9.737,5360,
,0.25,9/7/2014,andy,10,15,3,9.727,6058,checktime up on this one
,0.25,9/7/2014,andy,10,5,6,9.7,7556,
,0.25,9/7/2014,andy,10,10,10,9.75,5532,
,0.25,9/7/2014,andy,20,0,0,10.237,41834,
,0.25,9/7/2014,andy,20,3,4,10.179,3707,
,0.25,9/7/2014,andy,20,5,7,10.002,74111,
,0.25,9/7/2014,andy,20,5,7,9.289,37044,
,0.25,9/7/2014,bob,0,3,3,10.55,1168,
,0.25,9/7/2014,bob,0,3,3,9.705,5940,
,0.25,9/7/2014,bob,0,5,8,10.007,51499,
,0.25,9/7/2014,bob,10,0,0,10.62,21486,
,0.25,9/7/2014,bob,10,3,3,10.334,32890,
,0.25,9/7/2014,bob,10,3,3,10.391,21573,
,0.25,9/7/2014,bob,20,3,3,9.893,4089,
,0.25,9/7/2014,bob,20,5,7,9.66,5019,
,0.25,9/7/2014,bob,20,10,13,9.57,1956,
,0.25,9/7/2014,carl,0,0,0,9.7,17202,
,0.25,9/7/2014,carl,0,0,0,10.201,33074,
,0.25,9/7/2014,carl,0,3,3,9.721,2891,
,0.25,9/7/2014,carl,0,5,8,9.692,15066,
,0.25,9/7/2014,carl,0,5,8,10.204,30501,
,0.25,9/7/2014,carl,10,3,3,9.704,3790,
,0.25,9/7/2014,carl,10,5,8,9.699,4119,
,0.25,9/7/2014,carl,10,10,11,9.672,15629,
,0.25,9/7/2014,carl,10,10,11,10.119,31260,
,0.25,9/7/2014,carl,10,10,11,9.672,8768,
