DATETIME,AZERO50,AZERO20,AZERO5
06/05/2014 12:30,0.457,0.446,0.467
06/05/2014 12:45,0.448,0.456,0.445
06/05/2014 13:00,0.446,0.462,0.438
06/05/2014 13:15,0.446,0.462,0.438
06/05/2014 13:30,0.446,0.462,0.437
06/05/2014 13:45,0.446,0.462,0.436
06/05/2014 14:00,0.446,0.462,0.436
06/05/2014 14:15,0.446,0.462,0.435
06/05/2014 14:30,0.446,0.463,0.434
06/05/2014 14:45,0.446,0.463,0.434
06/05/2014 15:00,0.446,0.463,0.434
06/05/2014 15:15,0.446,0.463,0.433
06/05/2014 15:30,0.446,0.463,0.433
06/05/2014 15:45,0.446,0.463,0.433
06/05/2014 16:00,0.446,0.463,0.432
06/05/2014 16:15,0.446,0.463,0.431
06/05/2014 16:30,0.446,0.463,0.430
06/05/2014 16:45,0.446,0.463,0.429
06/05/2014 17:00,0.446,0.463,0.429
06/05/2014 17:15,0.446,0.463,0.429
06/05/2014 17:30,0.446,0.463,0.426
06/05/2014 17:45,0.446,0.463,0.426
06/05/2014 18:00,0.446,0.463,0.425
06/05/2014 18:15,0.446,0.463,0.425
06/05/2014 18:30,0.446,0.463,0.424
06/05/2014 18:45,0.446,0.463,0.424
06/05/2014 19:00,0.446,0.463,0.423
06/05/2014 19:15,0.446,0.463,0.423
06/05/2014 19:30,0.446,0.463,0.423
06/05/2014 19:45,0.446,0.463,0.423
06/05/2014 20:00,0.446,0.463,0.423
06/05/2014 20:15,0.446,0.463,0.423
06/05/2014 20:30,0.446,0.463,0.423
06/05/2014 20:45,0.446,0.463,0.423
06/05/2014 21:00,0.446,0.463,0.423
06/05/2014 21:15,0.446,0.463,0.424
06/05/2014 21:30,0.446,0.463,0.424
06/05/2014 21:45,0.446,0.463,0.424
06/05/2014 22:00,0.446,0.463,0.424
06/05/2014 22:15,0.446,0.463,0.424
06/05/2014 22:30,0.446,0.463,0.424
06/05/2014 22:45,0.446,0.463,0.424
06/05/2014 23:00,0.446,0.463,0.423
06/05/2014 23:15,0.446,0.463,0.423
06/05/2014 23:30,0.446,0.463,0.423
06/05/2014 23:45,0.446,0.463,0.423
06/06/2014 0:00,0.447,0.463,0.423
06/06/2014 0:15,0.446,0.463,0.423
06/06/2014 0:30,0.446,0.463,0.423
06/06/2014 0:45,0.446,0.463,0.425
06/06/2014 1:00,0.446,0.463,0.426
06/06/2014 1:15,0.447,0.463,0.426
06/06/2014 1:30,0.447,0.463,0.426
06/06/2014 1:45,0.446,0.463,0.426
06/06/2014 2:00,0.447,0.463,0.426
06/06/2014 2:15,0.446,0.463,0.428
06/06/2014 2:30,0.447,0.463,0.428
06/06/2014 2:45,0.447,0.463,0.428
06/06/2014 3:00,0.446,0.463,0.428
06/06/2014 3:15,0.447,0.463,0.428
06/06/2014 3:30,0.447,0.463,0.428
06/06/2014 3:45,0.447,0.463,0.428
06/06/2014 4:00,0.447,0.463,0.428
06/06/2014 4:15,0.447,0.463,0.428
06/06/2014 4:30,0.447,0.463,0.428
