TREE,PHOTO
MA,18.25759632
MA,16.81310825
MA,6.360511
MA,3.681505
MA,9.78
MA,9.077227
MA,7.654065
MA,6.758377
MA,7.557518
RM,3.065028
RM,7.65253
RM,6.223101775
RM,2.296278439
RM,3.537593284
RM,2.811665
RM,5.93259
RM,6.422786774
