TRANSECT,DISTANCE,SOM
C,30,0.050009972
D,30,0.046349745
D,20,0.240203817
C,25,0.048367834
C,20,0.049715994
D,15,0.060299401
B,15,0.048455524
A,25,0.052478513
B,10,0.042991549
D,25,0.056641794
A,20,0.050268263
A,15,0.054379427
B,25,0.051725341
B,20,0.052607923
A,30,0.048135291
C,15,0.044496838
B,30,0.044288022
A,0,0.061384129
A,5,0.055435292
B,20,0.051581348
A,10,0.038947169
B,5,0.036666135
A,15,0.047417642
C,10,0.04983725
