"item","group1","group2","group3","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1","HIGH","CLOSED","5",1,3,54.2967503033333,23.1014682565872,42.00898054,54.2967503033333,3.07324936758001,39.93610224,80.94516813,41.00906589,0.381416770048002,-2.33333333333333,7.70048941886241
"2","LOW","CLOSED","5",1,3,34.8339008766667,7.38891645500084,32.86785242,34.8339008766667,6.287699513172,28.6268572,43.00699301,14.38013581,0.247242510780726,-2.33333333333333,2.46297215166695
"3","MID","CLOSED","5",1,3,43.6797154766667,27.1157438463871,36.57882279,43.6797154766667,23.36262465957,20.82094834,73.6393753,52.81842696,0.243914749496239,-2.33333333333333,9.03858128212904
"4","HIGH","OPEN","5",1,3,65.7648344333333,14.742314257279,59.53456061,65.7648344333333,6.48496614452399,55.16051087,82.59943182,27.43892095,0.347132955116741,-2.33333333333333,4.91410475242633
"5","LOW","OPEN","5",1,3,42.06186826,23.6504023546199,43.15107914,42.06186826,32.613889858284,17.88567916,65.14884648,47.26316732,-0.045956961510171,-2.33333333333333,7.88346745153998
"6","MID","OPEN","5",1,3,33.13617334,20.7399698173154,21.86335404,33.13617334,2.059891437324,20.4739763,57.07118968,36.59721338,0.382957854241162,-2.33333333333333,6.91332327243845
"7","HIGH","SHRUB","5",1,3,80.8013497,10.1436596083528,77.82592994,80.8013497,7.92862166732999,72.47814789,92.09997127,19.62182338,0.268089700364919,-2.33333333333333,3.38121986945092
"8","LOW","SHRUB","5",1,3,53.44990631,24.6432502093671,54.23728814,53.44990631,34.771034518248,28.42240117,77.69002962,49.26762845,-0.031918598429757,-2.33333333333333,8.21441673645571
"9","MID","SHRUB","5",1,3,29.17646978,22.3455054253299,17.50197837,29.17646978,3.581462897838,15.08631474,54.94111623,39.85480149,0.379845846899232,-2.33333333333333,7.44850180844331
"10","HIGH","CLOSED","12",1,2,37.409828,33.6790177008885,37.409828,37.409828,35.30761758468,13.5951662,61.2244898,47.6293236,0,-2.75,16.8395088504442
"11","LOW","CLOSED","12",1,3,68.4534479666667,10.2683588511532,64.3410853,68.4534479666667,5.13339011892,60.8786611,80.1405975,19.2619364,0.33625388676756,-2.33333333333333,3.42278628371774
"12","MID","CLOSED","12",1,3,23.5792907333333,16.8409926971263,17.7094972,23.5792907333333,10.75000880016,10.4587156,42.5696594,32.1109438,0.306200595734342,-2.33333333333333,5.61366423237543
"13","HIGH","OPEN","12",1,3,32.7685838,26.2408117514483,19.2287375,32.7685838,4.69305495372,16.0633153,63.0136986,46.9503833,0.378608739804103,-2.33333333333333,8.74693725048277
"14","LOW","OPEN","12",1,2,25.7984381,17.8569690405342,25.7984381,25.7984381,18.72046981014,13.1716542,38.425222,25.2535678,0,-2.75,8.92848452026712
"15","MID","OPEN","12",1,3,17.4120516666667,7.8383991657132,14.2671292,17.4120516666667,3.9031268598,11.6345062,26.3345196,14.7000134,0.336632609030086,-2.33333333333333,2.6127997219044
"16","HIGH","SHRUB","12",1,3,44.0199742333333,17.8533297003667,40.8269905,44.0199742333333,19.04905325904,27.9785801,63.2543521,35.275772,0.173124799496249,-2.33333333333333,5.95110990012222
"17","LOW","SHRUB","12",1,3,18.2070712,7.15742939420257,19.9261993,18.2070712,6.55632762624,10.3466326,24.3483817,14.0017491,-0.226331424447555,-2.33333333333333,2.38580979806752
"18","MID","SHRUB","12",1,3,21.8682117,6.11284533815596,20.7612457,21.8682117,6.48897889038,16.3844894,28.4589,12.0744106,0.175150057730616,-2.33333333333333,2.03761511271865
"19","HIGH","CLOSED","20",1,3,13.6969945366667,1.15043363863875,13.46730654,13.6969945366667,1.169140420266,12.67873213,14.94494494,2.26621281,0.191694927032505,-2.33333333333333,0.383477879546248
"20","LOW","CLOSED","20",1,3,14.32108301,8.71296623338642,15.3,14.32108301,10.679537011878,5.16,22.50324903,17.34324903,-0.110933541780586,-2.33333333333333,2.90432207779547
"21","MID","CLOSED","20",1,3,9.43015895266667,1.70867900737899,9.067279816,9.43015895266667,1.6830651392184,7.932067932,11.29112911,3.359061178,0.202795427250532,-2.33333333333333,0.56955966912633
"22","HIGH","OPEN","20",1,3,9.95216646666667,3.03654744545262,9.80980981,9.95216646666667,4.181686257924,6.98930107,13.05738852,6.06808745,0.04677805387095,-2.33333333333333,1.01218248181754
"23","LOW","OPEN","20",1,3,15.2679806436667,14.1374031793855,8.991907283,15.2679806436667,5.391811368657,5.355180338,31.45685431,26.101673972,0.356444626287473,-2.33333333333333,4.71246772646182
"24","MID","OPEN","20",1,3,7.068350759,1.32309400418317,6.985110423,7.068350759,1.7735872199766,5.788842232,8.431099622,2.64225739,0.062664378007395,-2.33333333333333,0.441031334727722
"25","HIGH","SHRUB","20",1,3,21.6739544166667,6.84939769289018,20.80583883,21.6739544166667,8.162956649358,15.3,28.91602442,13.61602442,0.124707357329787,-2.33333333333333,2.28313256429673
"26","LOW","SHRUB","20",1,3,22.4697919966667,9.93777986362415,23.25837081,22.4697919966667,12.94520069745,12.16121612,31.98978906,19.82857294,-0.078851956619005,-2.33333333333333,3.31259328787472
"27","MID","SHRUB","20",1,3,10.260106687,2.84103002761169,11.2043978,10.260106687,1.933831281858,7.067173131,12.50874913,5.441575999,-0.295657374153872,-2.33333333333333,0.947010009203898
