Date,TRANSECT,DISTANCE,PERIOD,Plot,T5,T12,T20,THETA12,THETA20,pH,Lumbricus,Eisenia ,Allolobophora,Aporrectodea ,Dendrobaena,Amynthas,Damage,Young
6/16/2014,A,30,1,A_30,22.3,21.333,21.233,49.233,35.666,5.256,5,4,1,7,0,0,1,0
6/16/2014,A,25,1,A_25,26,23.9,23.266,54.966,40.266,5.54,2,6,2,5,0,0,1,17
6/16/2014,A,20,1,A_20,23.3,22.366,20.866,62,46.133,6.57,7,3,1,23,0,0,2,10
6/16/2014,A,15,1,A_15,20.3,18.966,17.8,75.5,56.633,6.616,5,0,5,9,0,6,4,18
6/17/2014,B,30,1,B_30,23.133,22.9,22.766,40.9,29.633,5.386,0,0,0,2,0,0,0,4
6/17/2014,B,25,1,B_25,22.966,22.7,22.366,42.833,31.033,5.696,4,0,0,16,2,0,1,15
6/17/2014,B,20,1,B_20,22.066,21.5,20.866,52,38.266,5.963,11,0,7,3,0,10,0,20
6/17/2014,B,15,1,B_15,25.666,24.533,23.433,55.633,40.833,6.59,7,0,13,0,0,3,0,6
6/18/2014,C,30,1,C_30,24.233,24.3,24.2,38.4,27.6,6.076,0,0,0,11,0,2,0,6
6/18/2014,C,25,1,C_25,23.9,23.333,23.066,39.8,28.366,6.093,3,0,1,6,0,0,0,10
6/18/2014,C,20,1,C_20,24.4,23.666,22.966,52.433,38.533,6.33,6,0,0,8,0,4,0,10
6/18/2014,C,15,1,C_15,28.633,27.733,27.266,61.733,45.233,6.52,0,0,3,0,0,40,0,2
6/20/2014,D,30,1,D_30,23.333,23.466,23.666,39.933,28.533,5.9,2,2,0,1,0,0,0,11
6/20/2014,D,25,1,D_25,23.8,23.766,23.766,37.766,26.833,5.656,3,1,0,0,0,0,0,10
6/20/2014,D,20,1,D_20,25.3,24.566,23.666,39.366,27.966,5.763,1,0,0,0,0,0,0,13
6/20/2014,D,15,1,D_15,28.866,27,25.433,59.933,44.1,6.14,2,0,8,0,0,5,0,28
6/30/2014,A,30,2,A_30,22.6,22.366,22.366,39.233,28.033,5.3,2,2,0,5,0,0,0,5
6/30/2014,A,25,2,A_25,25.633,25.1,24.866,44.3,31.866,5.573,0,7,0,13,0,0,0,29
6/30/2014,A,20,2,A_20,22.1,21.6,21.1,60.2,44.166,6.716,15,5,0,56,0,0,0,10
6/30/2014,A,15,2,A_15,24.066,22.866,21.8,55.966,40.833,6.756,8,4,0,9,0,12,0,20
7/1/2014,A,10,2,A 10,19.833,19.666,19.333,65.033,48.166,6.85,0,0,0,0,0,0,0,4
7/1/2014,B,30,2,B_30,24.333,24.133,23.966,23.3,15.633,5.623,0,0,0,0,0,0,0,19
7/1/2014,B,25,2,B_25,24.6,24.166,23.766,32.233,22.7,5.936,0,2,0,3,0,0,0,17
7/1/2014,B,20,2,B_20,23.7,22.8,21.9,42.8,30.433,6.513,7,1,0,0,0,7,0,43
7/2/2014,B,15,2,B_15,24.466,24.366,24.266,51.033,36.966,6.606,6,0,0,0,0,23,0,8
7/2/2014,B,10,2,B_10,27.2,26.7,26.4,60.666,44.433,7.036,0,0,0,0,0,0,0,1
7/3/2014,C,30,2,C_30,24.866,24.966,25.1,29,19.8333,NA,0,0,0,2,0,0,0,16
7/3/2014,C,25,2,C_25,27.633,26.3,25.7,28.133,19.333,NA,0,0,0,11,0,4,0,16
7/3/2014,C,20,2,C_20,26.966,26.733,25.766,53.433,38.533,NA,1,0,0,5,0,25,0,14
7/4/2014,C,15,2,C_15,24.7,25.433,26.233,53.1,38.9,NA,0,0,0,0,0,27,0,1
7/4/2014,D,30,2,D_30,23.166,23.533,23.733,30.533,21.033,NA,1,0,0,1,0,0,0,15
7/4/2014,D,25,2,D_25,26.933,25.6,24.9,26.466,18.033,NA,0,2,0,14,0,0,0,8
7/4/2014,D,20,2,D_20,27.433,26.233,25.466,30.066,21.033,NA,2,3,0,6,0,0,0,23
7/5/2014,D,15,2,D_15,20.333,21,22.233,56.333,41.033,NA,10,0,7,1,0,2,0,13
7/14/2014,A,30,3,A_30,23.066,23.1,22.966,36.7,26.033,5.546,1,2,0,7,0,0,0,6
7/14/2014,A,25,3,A_25,25.133,25.033,24.933,29.533,19.633,5.59,0,0,0,17,0,0,3,11
7/14/2014,A,20,3,A_20,22.3,21.966,21.633,57.3,41.866,6.476,14,1,0,37,0,3,2,17
7/14/2014,A,15,3,A_15,22.166,21.566,21.2,54.433,39.566,6.383,2,0,2,0,0,13,0,8
7/14/2014,A,10,3,A_10,21.866,21.133,20.5,60.066,44,6.103,1,0,0,0,0,5,0,3
