TRANSECT,DISTANCE,PLOT,BULK
A,30,A30,1.299484735
A,25,A25,1.360472214
A,20,A20,1.592631279
A,15,A15,0.884106702
A,10,A10,0.912108707
A,5,A5,0.988914181
A,0,A0,1.148991789
B,30,B30,1.272807871
B,25,B25,1.123227255
B,20,B20,1.173844691
B,15,B15,1.045192194
B,10,B10,1.274983833
B,5,B5,1.179307874
C,30,C30,1.276489129
C,25,C25,1.247702405
C,20,C20,1.06656742
C,15,C15,1.155918585
C,10,C10,1.380831898
D,30,D30,1.271206964
D,25,D25,1.364601166
D,20,D20,1.202205527
D,15,D15,1.253087578
